,Luchthaven,Periode,Totaal aantal vluchten,Totaal aantal aangekomen vluchten,Totaal aantal vertrokken vluchten,Totaal aantal passagiers,Totaal aantal aangekomen passagiers,Totaal aantal vertrokken passagiers,Totaal aantal passagiers op Europese vluchten,Totaal aantal passagiers op intercontinentale vluchten,Totaal aantal passagiers met onbekende herkomst/bestemming
0,Amsterdam Airport Schiphol,2019 januari,37185,18588,18597,4996131,2520292,2475839,3373101,1623030,0
1,Amsterdam Airport Schiphol,2019 februari,35195,17590,17605,4836332,2386195,2450137,3383286,1453046,0
2,Amsterdam Airport Schiphol,2019 maart,39785,19897,19888,5630314,2847589,2782725,3947789,1682525,0
3,Amsterdam Airport Schiphol,2019 april,41892,20940,20952,6104010,2983771,3120239,4314805,1789205,0
4,Amsterdam Airport Schiphol,2019 mei,44706,22352,22354,6441473,3236047,3205426,4651471,1790002,0
5,Amsterdam Airport Schiphol,2019 juni,43348,21676,21672,6502588,3273870,3228718,4652003,1850585,0
6,Amsterdam Airport Schiphol,2019 juli,44736,22366,22370,6724023,3166610,3557413,4758165,1965858,0
7,Amsterdam Airport Schiphol,2019 augustus,45122,22558,22564,6810759,3523240,3287519,4804762,2005997,0
8,Amsterdam Airport Schiphol,2019 september,44131,22075,22056,6493468,3252568,3240900,4649227,1844241,0
9,Amsterdam Airport Schiphol,2019 oktober,44502,22251,22251,6431122,3227860,3203262,4604704,1826418,0
10,Amsterdam Airport Schiphol,2019 november,37800,18901,18899,5323306,2668379,2654927,3717038,1606268,0
11,Amsterdam Airport Schiphol,2019 december,38425,19213,19212,5386203,2640064,2746139,3698397,1687806,0
12,Amsterdam Airport Schiphol,2020 januari,37567,18784,18783,5074773,2561003,2513770,3452707,1622066,0
13,Amsterdam Airport Schiphol,2020 februari,34979,17492,17487,4719769,2342660,2377109,3330655,1389114,0
14,Amsterdam Airport Schiphol,2020 maart,25155,12626,12529,2476372,1298133,1178239,1641935,834437,0
15,Amsterdam Airport Schiphol,2020 april,4236,2118,2118,126015,70038,55977,67687,58328,0
16,Amsterdam Airport Schiphol,2020 mei,5873,2930,2943,207827,109314,98513,131546,76281,0
17,Amsterdam Airport Schiphol,2020 juni,8108,4057,4051,471410,229128,242282,338245,133165,0
18,Amsterdam Airport Schiphol,2020 juli,15702,7831,7871,1338857,608849,730008,1114398,224459,0
19,Amsterdam Airport Schiphol,2020 augustus,23125,11545,11580,1854786,983983,870803,1608511,246275,0
20,Amsterdam Airport Schiphol,2020 september,22162,11087,11075,1337741,684061,653680,1102721,235020,0
21,Amsterdam Airport Schiphol,2020 oktober,19614,9801,9813,1143483,576128,567355,874489,268994,0
22,Amsterdam Airport Schiphol,2020 november,14858,7433,7425,900434,451046,449388,629150,271284,0
23,Amsterdam Airport Schiphol,2020 december,15896,7956,7940,1233043,580297,652746,836069,396974,0
24,Amsterdam Airport Schiphol,2021 januari,14666,7317,7349,869129,463793,405336,553464,315665,0
25,Amsterdam Airport Schiphol,2021 februari,10655,5328,5327,505194,253143,252051,327631,177563,0
26,Amsterdam Airport Schiphol,2021 maart,12217,6112,6105,660176,331608,328568,430955,229221,0
27,Amsterdam Airport Schiphol,2021 april,13720,6855,6865,786652,386810,399842,536128,250524,0
28,Amsterdam Airport Schiphol,2021 mei,15576,7790,7786,1106740,552079,554661,804575,302165,0
29,Amsterdam Airport Schiphol,2021 juni,19195,9593,9602,1678265,816099,862166,1231479,446786,0
30,Amsterdam Airport Schiphol,2021 juli,29141,14563,14578,3029951,1378580,1651371,2303289,726662,0
31,Amsterdam Airport Schiphol,2021 augustus,31847,15929,15918,3786973,2002462,1784511,2939403,847570,0
32,Rotterdam The Hague Airport,2019 januari,938,471,467,84056,42870,41186,79966,4090,0
33,Rotterdam The Hague Airport,2019 februari,978,491,487,95420,45623,49797,91161,4259,0
34,Rotterdam The Hague Airport,2019 maart,1286,642,644,137683,70235,67448,130992,6691,0
35,Rotterdam The Hague Airport,2019 april,1556,782,774,169142,77152,91990,159234,9908,0
36,Rotterdam The Hague Airport,2019 mei,2011,1000,1011,227437,112360,115077,221218,6219,0
37,Rotterdam The Hague Airport,2019 juni,1943,974,969,240069,118538,121531,231448,8621,0
38,Rotterdam The Hague Airport,2019 juli,2039,1017,1022,251074,113281,137793,238037,13037,0
39,Rotterdam The Hague Airport,2019 augustus,2099,1045,1054,269858,142244,127614,252335,17523,0
40,Rotterdam The Hague Airport,2019 september,1997,1003,994,240606,122672,117934,229982,10624,0
41,Rotterdam The Hague Airport,2019 oktober,1771,885,886,198592,107016,91576,187377,11215,0
42,Rotterdam The Hague Airport,2019 november,910,454,456,91748,48123,43625,83215,8533,0
43,Rotterdam The Hague Airport,2019 december,878,439,439,89113,41797,47316,81414,7699,0
44,Rotterdam The Hague Airport,2020 januari,963,481,482,99080,51119,47961,90361,8719,0
45,Rotterdam The Hague Airport,2020 februari,1031,506,525,104062,49988,54074,97069,6993,0
46,Rotterdam The Hague Airport,2020 maart,748,369,379,62870,36664,26206,57788,5082,0
47,Rotterdam The Hague Airport,2020 april,41,17,24,0,0,0,0,0,0
48,Rotterdam The Hague Airport,2020 mei,46,19,27,134,78,56,134,0,0
