,Luchthaven,Periode,Totaal aantal vluchten,Totaal aantal aangekomen vluchten,Totaal aantal vertrokken vluchten,Totaal aantal passagiers,Totaal aantal aangekomen passagiers,Totaal aantal vertrokken passagiers,Totaal aantal passagiers op Europese vluchten,Totaal aantal passagiers op intercontinentale vluchten,Totaal aantal passagiers met onbekende herkomst/bestemming,Weeknummer,Totaal aantal overledenen,Verwacht aantal overledenen,Verwacht aantal overledenen (95%-interval),LAT,LNG,Maatregelen
0,Amsterdam Airport Schiphol,2020 januari,37567,18784,18783,5074773,2561003,2513770,3452707,1622066,0,1,3103,3277,2908 – 3645,52.3105386,4.7682744,Eerste signalen corona (jan '20)
1,Amsterdam Airport Schiphol,2020 januari,37567,18784,18783,5074773,2561003,2513770,3452707,1622066,0,2,3364,3311,2930 – 3692,52.3105386,4.7682744,Eerste signalen corona (jan '20)
2,Amsterdam Airport Schiphol,2020 januari,37567,18784,18783,5074773,2561003,2513770,3452707,1622066,0,3,3157,3344,2945 – 3742,52.3105386,4.7682744,Eerste signalen corona (jan '20)
3,Amsterdam Airport Schiphol,2020 januari,37567,18784,18783,5074773,2561003,2513770,3452707,1622066,0,4,3046,3392,3008 – 3776,52.3105386,4.7682744,Eerste signalen corona (jan '20)
4,Rotterdam The Hague Airport,2020 januari,963,481,482,99080,51119,47961,90361,8719,0,1,3103,3277,2908 – 3645,51.9555086,4.4398832,Eerste signalen corona (jan '20)
5,Rotterdam The Hague Airport,2020 januari,963,481,482,99080,51119,47961,90361,8719,0,2,3364,3311,2930 – 3692,51.9555086,4.4398832,Eerste signalen corona (jan '20)
6,Rotterdam The Hague Airport,2020 januari,963,481,482,99080,51119,47961,90361,8719,0,3,3157,3344,2945 – 3742,51.9555086,4.4398832,Eerste signalen corona (jan '20)
7,Rotterdam The Hague Airport,2020 januari,963,481,482,99080,51119,47961,90361,8719,0,4,3046,3392,3008 – 3776,51.9555086,4.4398832,Eerste signalen corona (jan '20)
8,Eindhoven Airport,2020 januari,2554,1277,1277,400991,202475,198516,375641,25350,0,1,3103,3277,2908 – 3645,51.4583691,5.3920556,Eerste signalen corona (jan '20)
9,Eindhoven Airport,2020 januari,2554,1277,1277,400991,202475,198516,375641,25350,0,2,3364,3311,2930 – 3692,51.4583691,5.3920556,Eerste signalen corona (jan '20)
10,Eindhoven Airport,2020 januari,2554,1277,1277,400991,202475,198516,375641,25350,0,3,3157,3344,2945 – 3742,51.4583691,5.3920556,Eerste signalen corona (jan '20)
11,Eindhoven Airport,2020 januari,2554,1277,1277,400991,202475,198516,375641,25350,0,4,3046,3392,3008 – 3776,51.4583691,5.3920556,Eerste signalen corona (jan '20)
12,Maastricht Aachen Airport,2020 januari,474,238,236,15115,8177,6938,9549,5566,0,1,3103,3277,2908 – 3645,50.9123207,5.7694951,Eerste signalen corona (jan '20)
13,Maastricht Aachen Airport,2020 januari,474,238,236,15115,8177,6938,9549,5566,0,2,3364,3311,2930 – 3692,50.9123207,5.7694951,Eerste signalen corona (jan '20)
14,Maastricht Aachen Airport,2020 januari,474,238,236,15115,8177,6938,9549,5566,0,3,3157,3344,2945 – 3742,50.9123207,5.7694951,Eerste signalen corona (jan '20)
15,Maastricht Aachen Airport,2020 januari,474,238,236,15115,8177,6938,9549,5566,0,4,3046,3392,3008 – 3776,50.9123207,5.7694951,Eerste signalen corona (jan '20)
16,Groningen Airport Eelde,2020 januari,210,104,106,5290,2612,2678,5290,0,0,1,3103,3277,2908 – 3645,53.2145858,6.5887355,Eerste signalen corona (jan '20)
17,Groningen Airport Eelde,2020 januari,210,104,106,5290,2612,2678,5290,0,0,2,3364,3311,2930 – 3692,53.2145858,6.5887355,Eerste signalen corona (jan '20)
